رقم السجل,اسم النشاط,الفئة الرئيسية,التصنيف الفرعي,نوع النشاط الأصلي,التصنيف الأصلي,المدينة,المدينة / القرية,العنوان,الهاتف,واتساب,فيسبوك,إنستغرام,الموقع الإلكتروني,مواعيد العمل,تقييم جوجل,عدد مراجعات جوجل,نطاق الأسعار,معرّف المكان في جوجل,رابط خرائط جوجل,الوصف,معلومات الأسعار,الصور,نشاط إلكتروني فقط,موثّق,المصدر,نوع المصدر,تاريخ الجمع,خط العرض,خط الطول
57,كِسوة - KESWA متجر,👗 محلات الملابس والأحذية,ملابس وأحذية,Men's clothing store,ملابس رجالي,Banha,,"شارع أمن الدولة خلف إدارة الجامعة, الأهرام, Al-Qalyubia Governorate, Egypt",,,,,,,4.1,172.0,,ChIJSRXOo1vf9xQRtDMMI0GEhB4,https://www.جوجل.com/maps/search/?api=1&query=%D9%83%D9%90%D8%B3%D9%88%D8%A9%20-%20KESWA%20متجر%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D8%A3%D9%85%D9%86%20%D8%A7%D9%84%D8%AF%D9%88%D9%84%D8%A9%20%D8%AE%D9%84%D9%81%20%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9%20%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9%2C%20%D8%A7%D9%84%D8%A3%D9%87%D8%B1%D8%A7%D9%85%2C%20Al-Qalyubia%20Governorate%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
58,Men's Club,👗 محلات الملابس والأحذية,ملابس وأحذية,,Clothing store,Banha,,"8 fared nada, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470048, Egypt",,,,,,,4.3,123.0,,ChIJ6YwUiqHf9xQRvFQPvsrR4eE,https://www.جوجل.com/maps/search/?api=1&query=Men%27s%20Club%208%20fared%20nada%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470048%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
59,ليزر وان بنها,👗 محلات الملابس والأحذية,ملابس وأحذية,Clothing store,ملابس,Banha,,"13512, اتريب بجوار موقف بنها العمومي, Egypt",201020842557.0,,,,,,4.6,82.0,,ChIJDzpp0cff9xQR7QW_M_SIdOs,https://www.جوجل.com/maps/search/?api=1&query=%D9%84%D9%8A%D8%B2%D8%B1%20%D9%88%D8%A7%D9%86%20%D8%A8%D9%86%D9%87%D8%A7%2013512%2C%20%D8%A7%D8%AA%D8%B1%D9%8A%D8%A8%20%D8%A8%D8%AC%D9%88%D8%A7%D8%B1%20%D9%85%D9%88%D9%82%D9%81%20%D8%A8%D9%86%D9%87%D8%A7%20%D8%A7%D9%84%D8%B9%D9%85%D9%88%D9%85%D9%8A%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
60,Almond متجر ألموند ستور,👗 محلات الملابس والأحذية,ملابس وأحذية,Shoe store,أحذية,Banha,,"١ Wahbi, المنشية, Banha, Al-Qalyubia Governorate 13511, Egypt",201222757575.0,,,,,,4.9,10.0,,ChIJfxwzRMV1WBQRvekMdBzH8-M,https://www.جوجل.com/maps/search/?api=1&query=Almond%20متجر%20%D8%A3%D9%84%D9%85%D9%88%D9%86%D8%AF%20%D8%B3%D8%AA%D9%88%D8%B1%20%D9%A1%20Wahbi%2C%20%D8%A7%D9%84%D9%85%D9%86%D8%B4%D9%8A%D8%A9%2C%20Banha%2C%20Al-Qalyubia%20Governorate%2013511%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
61,زد كولكشن بنها - Z Collection Benha,👗 محلات الملابس والأحذية,ملابس وأحذية,,Women's clothing store,Banha,,"بجانب السجل المدني, بنها: الأهرام - شارع سيف, El-Nasr, Al-Qalyubia Governorate, Egypt",201205706969.0,,,,,,5.0,10.0,,ChIJ27pwqt7f9xQRJ6bdgs2D-D0,https://www.جوجل.com/maps/search/?api=1&query=%D8%B2%D8%AF%20%D9%83%D9%88%D9%84%D9%83%D8%B4%D9%86%20%D8%A8%D9%86%D9%87%D8%A7%20-%20Z%20Collection%20Benha%20%D8%A8%D8%AC%D8%A7%D9%86%D8%A8%20%D8%A7%D9%84%D8%B3%D8%AC%D9%84%20%D8%A7%D9%84%D9%85%D8%AF%D9%86%D9%8A%2C%20%D8%A8%D9%86%D9%87%D8%A7%3A%20%D8%A7%D9%84%D8%A3%D9%87%D8%B1%D8%A7%D9%85%20-%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D8%B3%D9%8A%D9%81%2C%20El-Nasr%2C%20Al-Qalyubia%20Governorate%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
62,Pearl store,👗 محلات الملابس والأحذية,ملابس وأحذية,,Women's clothing store,Banha,,"اخر شارع فرغلي, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470160, Egypt",201114135687.0,,,,,,4.5,4.0,,ChIJKUduM3bf9xQRn8HKzL9HMSA,https://www.جوجل.com/maps/search/?api=1&query=Pearl%20store%20%D8%A7%D8%AE%D8%B1%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D9%81%D8%B1%D8%BA%D9%84%D9%8A%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470160%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
63,Sama Dress,👗 محلات الملابس والأحذية,ملابس وأحذية,Women's clothing store,ملابس حريمي,Banha,,"امام إدارة الجامعه فوق اورنج, الاهرام, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470048, Egypt",201557899497.0,,,,,,5.0,4.0,,ChIJH9dNOEt1WBQRcpjjSMgu6m8,https://www.جوجل.com/maps/search/?api=1&query=Sama%20Dress%20%D8%A7%D9%85%D8%A7%D9%85%20%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9%20%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D9%87%20%D9%81%D9%88%D9%82%20%D8%A7%D9%88%D8%B1%D9%86%D8%AC%2C%20%D8%A7%D9%84%D8%A7%D9%87%D8%B1%D8%A7%D9%85%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470048%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
64,محلات دريسينج روم الفرع الثانى - ملابس حريمى Dressing room for women clothes,👗 محلات الملابس والأحذية,ملابس وأحذية,,Women's clothing store,Banha,,"كورنيش النيل - بجوار هايبر خير بلدنا - بالواجهة الجانبية للبنك الأهلى الجديد, Al-Qalyubia Governorate 13512, Egypt",201125664556.0,,,,,,4.3,4.0,,ChIJ-xNy8m_f9xQRYTHbyMP4Pwc,https://www.جوجل.com/maps/search/?api=1&query=%D9%85%D8%AD%D9%84%D8%A7%D8%AA%20%D8%AF%D8%B1%D9%8A%D8%B3%D9%8A%D9%86%D8%AC%20%D8%B1%D9%88%D9%85%20%D8%A7%D9%84%D9%81%D8%B1%D8%B9%20%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%89%20-%20%D9%85%D9%84%D8%A7%D8%A8%D8%B3%20%D8%AD%D8%B1%D9%8A%D9%85%D9%89%20Dressing%20room%20for%20women%20clothes%20%D9%83%D9%88%D8%B1%D9%86%D9%8A%D8%B4%20%D8%A7%D9%84%D9%86%D9%8A%D9%84%20-%20%D8%A8%D8%AC%D9%88%D8%A7%D8%B1%20%D9%87%D8%A7%D9%8A%D8%A8%D8%B1%20%D8%AE%D9%8A%D8%B1%20%D8%A8%D9%84%D8%AF%D9%86%D8%A7%20-%20%D8%A8%D8%A7%D9%84%D9%88%D8%A7%D8%AC%D9%87%D8%A9%20%D8%A7%D9%84%D8%AC%D8%A7%D9%86%D8%A8%D9%8A%D8%A9%20%D9%84%D9%84%D8%A8%D9%86%D9%83%20%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%89%20%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%2C%20Al-Qalyubia%20Governorate%2013512%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
65,Brazily store,👗 محلات الملابس والأحذية,ملابس وأحذية,,Clothing store,Banha,,"F5HP+863, Qism Banha, Banha, Al-Qalyubia Governorate 6470190, Egypt",201031199037.0,,,,,,5.0,2.0,,ChIJjfjOBADf9xQR3RsOYzwQ_rk,https://www.جوجل.com/maps/search/?api=1&query=Brazily%20store%20F5HP%2B863%2C%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206470190%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
66,TM.men’s wear,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس رجالي,ملابس رجالي,Banha,,قسم بنها,201093411002.0,,,,,,5.0,1.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
67,إيليت لتأجير بدل رجالي وأطفال,👗 محلات الملابس والأحذية,ملابس وأحذية,,,بنها,,بجوار كافيتريا الفيشاوي، أول شارع يمين متفرع من شارع عجيبة,201044007723.0,,,,,,5.0,1.0,,ChIJUVuSY0Tf9xQR-BtHS4mo61o,,,,,,لا,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
68,A1,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"19 El Modereya St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
69,Abou El Dahab,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"El Modereya St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
70,Abou Sherif,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Ata St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
71,Abou Youssef,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"9 Atta St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
72,Activ Abou Alaa,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"El Shaheed Farid Nada St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
73,Adham,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"El Modereya St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
74,Africa متجر For Clothes,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"El Nagdah St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
75,Ahbab El Rahman,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"El Far St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
76,Ahmed Fashion,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"El Far St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
77,Akher El Anqoud,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Mostafa Kamel St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
78,Alafranca,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Ata St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
79,Aldo For Clothes,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"25 El Kobry St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
80,Anwar Zeinhom,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Bata Alley, Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
81,Arac,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Nady Banha El Riady St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
82,Arkadia For Clothes,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"19 El Modereya St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
83,Arkedia 1,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"El Modereya St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
84,Arzaq,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"El Far St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
85,Asaar Zaman,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Bata Alley, Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
86,Awladna,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Maqsoud St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
87,Aya,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"El Modereya St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
88,Azura For Clothes,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"1 Ibrahim El Noury St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
89,Eclipse,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Farid Nada St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
90,El Akkad,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Ata St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
92,El Amir Hussein,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Koleyet El Tegara St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
93,El Ariny,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Ata St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
94,El Atiq Sons,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Ata St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
95,El Boushy Sons,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"El Far St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
96,El Dalouaa,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"El Kobry St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
97,El Fanar,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Saad Zaghloul St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
98,El Fangary,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Saad Zaghloul St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
99,El Fares For Clothes,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"9 Atta St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
100,El Gawhara,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Ata St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
101,El Ghaly,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"39 Saad Zaghloul St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
102,El Gharib,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Ata St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
103,El Ghobashy,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Maqsoud St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
104,El Gohary,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Ata St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
105,El Halawany,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"Gamil St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
106,El Hegaz For Clothes,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"26 El Shemout St., Mansheyet El Nour, Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
107,El Horra,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس,,,مدينة بنها,"El Modereya St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
109,مركز جلو دكتورة مروه شديد,💄 مراكز التجميل والكوافير,تجميل وكوافير,مركز طبي/جلدية وتجميل,مركز طبي/جلدية وتجميل,Banha,,عبد الموجود، قسم بنها,201032757742.0,,,,,,4.9,254.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
110,Beautystation Banha Branch,💄 مراكز التجميل والكوافير,تجميل وكوافير,صالون تجميل,صالون تجميل,Banha,,مستشفى الأمل، برج الإمام,201000148349.0,,,,,,4.9,45.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
111,بيوتي ستيشن فرع بنها,💄 مراكز التجميل والكوافير,تجميل وكوافير,,,بنها,,مستشفى الأمل، برج الإمام,201000148349.0,,,,,الجمعة 1م–9م، السبت–الخميس 12م–9م,4.9,45.0,,ChIJhS1hC67f9xQRurOTtlTdogY,,,,,,لا,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
112,Glitter Beauty Salon,💄 مراكز التجميل والكوافير,تجميل وكوافير,صالون تجميل,صالون تجميل,Banha,,خلف مكتب بريد أول,201001458062.0,,,,,,5.0,1.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
114,مركز جلو د. مروة شديد,💄 مراكز التجميل والكوافير,تجميل وكوافير,مركز طبي,جلدية وتجميل وليزر,,مدينة بنها,عبد الموجود,201032757742.0,,,,,,,,,,,,,,False,False,جوجل خرائط local listing,,,,
115,تيب توب للحلاقة,💇 الحلاقين ومراكز العناية,حلاقة وعناية رجالية,,,بنها,,سيف النصر، قسم بنها، بنها,201200343400.0,,,,,مفتوح 24 ساعة,4.4,80.0,,ChIJJ-Ax2Vrf9xQR5MLx2ll5mYs,,,,,,لا,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
116,صيدليات العماوي,💊 الصيدليات,صيدليات,صيدلية,صيدلية,Banha,,كفر الجزار,201020043067.0,,,,,,4.3,63.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
117,صيدلية د/محمد طلعت بنها,💊 الصيدليات,صيدليات,صيدلية,صيدلية,Banha,,شارع سعد زغلول، أول شارع الصاغة,201040011806.0,,,,,,5.0,26.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
118,Misr Pharmacies - Banha Branch,💊 الصيدليات,صيدليات,صيدلية,صيدليات,Banha,,"امام ادارة جامعة بنها, شارع El-Shaheed Farid Nada, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470048, Egypt",20225476106.0,,,,,,4.2,21.0,,ChIJw73aA2Lf9xQRlShmi7JBL6c,https://www.جوجل.com/maps/search/?api=1&query=Misr%20Pharmacies%20-%20Banha%20Branch%20%D8%A7%D9%85%D8%A7%D9%85%20%D8%A7%D8%AF%D8%A7%D8%B1%D8%A9%20%D8%AC%D8%A7%D9%85%D8%B9%D8%A9%20%D8%A8%D9%86%D9%87%D8%A7%2C%20%D8%B4%D8%A7%D8%B1%D8%B9%20El-Shaheed%20Farid%20Nada%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470048%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
120,مركز موافي للأدوية البيطرية ومستلزمات الدواجن,💊 الصيدليات,صيدليات,Veterinary pharmacy,صيدليات,Banha,,"Banha - Zagazig Rd, Qism Banha, Banha, Al-Qalyubia Governorate 6462101, Egypt",201288762762.0,,,,,,4.3,3.0,,ChIJxRfhYgB1WBQRrsgOFtF9e1o,https://www.جوجل.com/maps/search/?api=1&query=%D9%85%D8%B1%D9%83%D8%B2%20%D9%85%D9%88%D8%A7%D9%81%D9%8A%20%D9%84%D9%84%D8%A3%D8%AF%D9%88%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%D8%A9%20%D9%88%D9%85%D8%B3%D8%AA%D9%84%D8%B2%D9%85%D8%A7%D8%AA%20%D8%A7%D9%84%D8%AF%D9%88%D8%A7%D8%AC%D9%86%20Banha%20-%20Zagazig%20Rd%2C%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206462101%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
122,صيدلية العماوي,💊 الصيدليات,صيدليات,صيدلية,صيدليات,,كفر الجزار,كفر الجزار - بنها,,,,,,,,,,,,,,,False,False,Shewaya,,,,
123,صيدلية د سعيد العطار,💊 الصيدليات,صيدليات,صيدلية,صيدليات,,كفر الجزار,بنها - كفر الجزار,20133100691.0,,,,,,,,,,,,,,False,False,Bizmideast,,,,
124,صيدلية د. احمد عاطف النجار,💊 الصيدليات,صيدليات,صيدلية,صيدليات,,كفر الجزار,خلف هيئة النيابة الإدارية,,,,,,,,,,,,,,,False,False,Yellow Pages Egypt,,,,
126,Eagles for Training & Translation,📚 مراكز التعليم والدروس,تعليم وتدريب,Training center,تعليم وتدريب,Banha,,"Koleyet Al Tegara, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470240, Egypt",201006070044.0,,,,,,5.0,7.0,,ChIJ666krz3f9xQRzqS1DR2CutA,https://www.جوجل.com/maps/search/?api=1&query=Eagles%20for%20Training%20%26%20Translation%20Koleyet%20Al%20Tegara%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470240%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
127,آي ليرن مركز تعليمي,📚 مراكز التعليم والدروس,تعليم وتدريب,,,بنها,,كورنيش النيل، كفر سعد,,,,,,,5.0,3.0,,ChIJfwNgvGHf9xQRIlScRQQJyko,,,,,,لا,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
128,سنتر تعليمي,📚 مراكز التعليم والدروس,تعليم وتدريب,Private tutor,تعليم وتدريب,Banha,,"Street 9, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470128, Egypt",201066841044.0,,,,,,5.0,1.0,,ChIJR9e4h1rf9xQRgs_uAvk2hfY,https://www.جوجل.com/maps/search/?api=1&query=%D8%B3%D9%86%D8%AA%D8%B1%20%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%20Street%209%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470128%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
129,Al-Alamiya Modern School International,📚 مراكز التعليم والدروس,تعليم وتدريب,مدرسة دولية,مدرسة دولية,Banha,,"Kafr Saad, Banha, Al-Qalyubia Governorate 6487402, Egypt",201010630640.0,,,,,,,,,ChIJlxSOLRnf9xQRkGm5BEbE3I4,https://www.جوجل.com/maps/search/?api=1&query=Al-Alamiya%20Modern%20School%20International%20Kafr%20Saad%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206487402%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
130,American Egyptian Academy,📚 مراكز التعليم والدروس,تعليم وتدريب,مركز تعليمي,تعليم وتدريب,,مدينة بنها,كلية التجارة,201093390796.0,,,,,,,,,,,,,,False,False,جوجل خرائط local listing,,,,
131,سنتر المعلم,📚 مراكز التعليم والدروس,تعليم وتدريب,مركز تعليمي,تعليم ودروس,,بطا - مركز بنها,,201022035406.0,,,,,,,,,,,,,,False,False,جوجل خرائط local listing,,,,
132,Orange,📱 محلات الموبايلات والإلكترونيات,موبايلات وإلكترونيات وكمبيوتر,,Cell phone store,Banha,,"Shop # 2/3, 5 Farid Nada St, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470124, Egypt",201223202020.0,,,,,,4.0,446.0,,ChIJ1foxgVDf9xQRSPmg8E2OK2Q,https://www.جوجل.com/maps/search/?api=1&query=Orange%20Shop%20%23%202/3%2C%205%20Farid%20Nada%20St%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470124%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
134,توكيل محمول بنها,📱 محلات الموبايلات والإلكترونيات,موبايلات وإلكترونيات وكمبيوتر,Mobile phone repair shop,موبايلات واتصالات,Banha,,"اعلي كشري هند, اول Wabour Al Talg, Qism Banha, Banha, Al-Qalyubia Governorate 6460301, Egypt",201006264369.0,,,,,,4.9,253.0,,ChIJwTqQJEN1WBQRqSLctvC-9Bg,https://www.جوجل.com/maps/search/?api=1&query=%D8%AA%D9%88%D9%83%D9%8A%D9%84%20%D9%85%D8%AD%D9%85%D9%88%D9%84%20%D8%A8%D9%86%D9%87%D8%A7%20%D8%A7%D8%B9%D9%84%D9%8A%20%D9%83%D8%B4%D8%B1%D9%8A%20%D9%87%D9%86%D8%AF%2C%20%D8%A7%D9%88%D9%84%20Wabour%20Al%20Talg%2C%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206460301%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
135,HUAWEI Experience متجر Nile View Mall Banha,📱 محلات الموبايلات والإلكترونيات,موبايلات وإلكترونيات وكمبيوتر,إلكترونيات وموبايلات,إلكترونيات وموبايلات,Banha,,كمال الدين حسين,201224195976.0,,,,,,5.0,233.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
